lon;lat
2.254854;48.866721
2.254854;48.868493
2.254854;48.870266
2.254854;48.872039
2.254854;48.873811
2.254854;48.875584
2.254854;48.877356
2.254854;48.879129
2.254854;48.880901
2.254854;48.882673
2.254854;48.884445
2.254854;48.886217
2.254854;48.887989
2.254854;48.889761
2.254854;48.891533
2.254854;48.893305
2.254854;48.895077
2.254854;48.896849
2.254854;48.898620
2.254854;48.900392
2.254854;48.902164
2.254854;48.903935
2.257549;48.815284
2.257549;48.817059
2.257549;48.818833
2.257549;48.820607
2.257549;48.822382
2.257549;48.824156
2.257549;48.825930
2.257549;48.827705
2.257549;48.829479
2.257549;48.831253
2.257549;48.833027
2.257549;48.834801
2.257549;48.836575
2.257549;48.838348
2.257549;48.840122
2.257549;48.841896
2.257549;48.843669
2.257549;48.845443
2.257549;48.847216
2.257549;48.848990
2.257549;48.850763
2.257549;48.852537
2.257549;48.854310
2.257549;48.856083
2.257549;48.857856
2.257549;48.859629
2.257549;48.861402
2.257549;48.863175
2.257549;48.864948
2.257549;48.866721
2.257549;48.868493
2.257549;48.870266
2.257549;48.872039
2.257549;48.873811
2.257549;48.875584
2.257549;48.877356
2.257549;48.879129
2.257549;48.880901
2.257549;48.882673
2.257549;48.884445
2.257549;48.886217
2.257549;48.887989
2.257549;48.889761
2.257549;48.891533
2.257549;48.893305
2.257549;48.895077
2.257549;48.896849
2.257549;48.898620
2.257549;48.900392
2.257549;48.902164
2.257549;48.903935
2.260244;48.815284
2.260244;48.817059
2.260244;48.818833
2.260244;48.820607
2.260244;48.822382
2.260244;48.824156
2.260244;48.825930
2.260244;48.827705
2.260244;48.829479
2.260244;48.831253
2.260244;48.833027
2.260244;48.834801
2.260244;48.836575
2.260244;48.838348
2.260244;48.840122
2.260244;48.841896
2.260244;48.843669
2.260244;48.845443
2.260244;48.847216
2.260244;48.848990
2.260244;48.850763
2.260244;48.852537
2.260244;48.854310
2.260244;48.856083
2.260244;48.857856
2.260244;48.859629
2.260244;48.861402
2.260244;48.863175
2.260244;48.864948
2.260244;48.866721
2.260244;48.868493
2.260244;48.870266
2.260244;48.872039
2.260244;48.873811
2.260244;48.875584
2.260244;48.877356
2.260244;48.879129
2.260244;48.880901
2.260244;48.882673
