main category id,venue main category,immediate parent category id,immediate parent category,top parent category id,top parent category,occurence,final category tag id,final category tag
4bf58dd8d48988d1c5941735,Sandwich Place,,,4d4b7105d754a06374d81259,Food,5,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d1c7941735,Snack Place,,,4d4b7105d754a06374d81259,Food,1,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d1cc941735,Steakhouse,,,4d4b7105d754a06374d81259,Food,2,4d4b7105d754a06374d81259,Food
4bf58dd8d48988d1dc931735,Tea Room,,,4d4b7105d754a06374d81259,Food,5,4d4b7105d754a06374d81259,Food
56aa371ce4b08b9a8d57356c,Beer Bar,4bf58dd8d48988d116941735,Bar,4d4b7105d754a06376d81259,Nightlife Spot,1,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d11e941735,Cocktail Bar,4bf58dd8d48988d116941735,Bar,4d4b7105d754a06376d81259,Nightlife Spot,8,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d1d8941735,Gay Bar,4bf58dd8d48988d116941735,Bar,4d4b7105d754a06376d81259,Nightlife Spot,1,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d1d5941735,Hotel Bar,4bf58dd8d48988d116941735,Bar,4d4b7105d754a06376d81259,Nightlife Spot,2,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d11b941735,Pub,4bf58dd8d48988d116941735,Bar,4d4b7105d754a06376d81259,Nightlife Spot,1,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d1d4941735,Speakeasy,4bf58dd8d48988d116941735,Bar,4d4b7105d754a06376d81259,Nightlife Spot,3,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d123941735,Wine Bar,4bf58dd8d48988d116941735,Bar,4d4b7105d754a06376d81259,Nightlife Spot,6,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d116941735,Bar,,,4d4b7105d754a06376d81259,Nightlife Spot,6,4bf58dd8d48988d116941735,Bar
4bf58dd8d48988d121941735,Lounge,,,4d4b7105d754a06376d81259,Nightlife Spot,1,4d4b7105d754a06376d81259,Nightlife Spot
4bf58dd8d48988d11f941735,Nightclub,,,4d4b7105d754a06376d81259,Nightlife Spot,1,4d4b7105d754a06376d81259,Nightlife Spot
4bf58dd8d48988d175941735,Gym / Fitness Center,4f4528bc4b90abdf24c9de85,Athletics & Sports,4d4b7105d754a06377d81259,Outdoors & Recreation,3,4f4528bc4b90abdf24c9de85,Athletics & Sports
4bf58dd8d48988d176941735,Gym,4bf58dd8d48988d175941735,Gym / Fitness Center,4d4b7105d754a06377d81259,Outdoors & Recreation,1,4f4528bc4b90abdf24c9de85,Athletics & Sports
4bf58dd8d48988d102941735,Yoga Studio,4bf58dd8d48988d175941735,Gym / Fitness Center,4d4b7105d754a06377d81259,Outdoors & Recreation,2,4f4528bc4b90abdf24c9de85,Athletics & Sports
4bf58dd8d48988d163941735,Park,,,4d4b7105d754a06377d81259,Outdoors & Recreation,4,4d4b7105d754a06377d81259,Outdoors & Recreation
4bf58dd8d48988d165941735,Scenic Lookout,,,4d4b7105d754a06377d81259,Outdoors & Recreation,1,4d4b7105d754a06377d81259,Outdoors & Recreation
4bf58dd8d48988d159941735,Trail,,,4d4b7105d754a06377d81259,Outdoors & Recreation,1,4d4b7105d754a06377d81259,Outdoors & Recreation
56aa371be4b08b9a8d5734c3,Waterfront,,,4d4b7105d754a06377d81259,Outdoors & Recreation,1,4d4b7105d754a06377d81259,Outdoors & Recreation
52e81612bcbc57f1066b7a25,Pedestrian Plaza,,,4d4b7105d754a06377d81259,Outdoors & Recreation,2,4bf58dd8d48988d164941735,Plaza
4bf58dd8d48988d164941735,Plaza,,,4d4b7105d754a06377d81259,Outdoors & Recreation,9,4bf58dd8d48988d164941735,Plaza
4bf58dd8d48988d103951735,Clothing Store,,,4d4b7105d754a06378d81259,Shop & Service,13,4bf58dd8d48988d103951735,Clothing Store
4bf58dd8d48988d102951735,Accessories Store,4bf58dd8d48988d103951735,Clothing Store,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d103951735,Clothing Store
4bf58dd8d48988d104951735,Boutique,4bf58dd8d48988d103951735,Clothing Store,4d4b7105d754a06378d81259,Shop & Service,9,4bf58dd8d48988d103951735,Clothing Store
4bf58dd8d48988d105951735,Kids Store,4bf58dd8d48988d103951735,Clothing Store,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d103951735,Clothing Store
4bf58dd8d48988d107951735,Shoe Store,4bf58dd8d48988d103951735,Clothing Store,4d4b7105d754a06378d81259,Shop & Service,5,4bf58dd8d48988d103951735,Clothing Store
4bf58dd8d48988d108951735,Women's Store,4bf58dd8d48988d103951735,Clothing Store,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d103951735,Clothing Store
5370f356bcbc57f1066c94c2,Beer Store,4bf58dd8d48988d1f9941735,Food & Drink Shop,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d1f9941735,Food & Drink Shop
4bf58dd8d48988d11d951735,Butcher,4bf58dd8d48988d1f9941735,Food & Drink Shop,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d1f9941735,Food & Drink Shop
4bf58dd8d48988d11e951735,Cheese Shop,4bf58dd8d48988d1f9941735,Food & Drink Shop,4d4b7105d754a06378d81259,Shop & Service,3,4bf58dd8d48988d1f9941735,Food & Drink Shop
4bf58dd8d48988d1fa941735,Farmers Market,4bf58dd8d48988d1f9941735,Food & Drink Shop,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d1f9941735,Food & Drink Shop
4bf58dd8d48988d1f5941735,Gourmet Shop,4bf58dd8d48988d1f9941735,Food & Drink Shop,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d1f9941735,Food & Drink Shop
52f2ab2ebcbc57f1066b8b46,Supermarket,4bf58dd8d48988d1f9941735,Food & Drink Shop,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d1f9941735,Food & Drink Shop
4bf58dd8d48988d119951735,Wine Shop,4bf58dd8d48988d1f9941735,Food & Drink Shop,4d4b7105d754a06378d81259,Shop & Service,3,4bf58dd8d48988d1f9941735,Food & Drink Shop
4bf58dd8d48988d1f6941735,Department Store,,,4d4b7105d754a06378d81259,Shop & Service,1,4bf58dd8d48988d1f6941735,Department Store
4bf58dd8d48988d10f951735,Pharmacy,,,4d4b7105d754a06378d81259,Shop & Service,2,4bf58dd8d48988d10f951735,Pharmacy
4bf58dd8d48988d1fa931735,Hotel,,,4d4b7105d754a06379d81259,Travel & Transport,23,4bf58dd8d48988d1fa931735,Hotel
4bf58dd8d48988d127951735,Arts & Crafts Store,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d114951735,Bookstore,,,4d4b7105d754a06378d81259,Shop & Service,6,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d117951735,Candy Store,,,4d4b7105d754a06378d81259,Shop & Service,2,4d4b7105d754a06378d81259,Shop & Service
52f2ab2ebcbc57f1066b8b31,Chocolate Shop,,,4d4b7105d754a06378d81259,Shop & Service,6,4d4b7105d754a06378d81259,Shop & Service
52f2ab2ebcbc57f1066b8b18,Comic Shop,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d10c951735,Cosmetics Shop,,,4d4b7105d754a06378d81259,Shop & Service,5,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d1f8941735,Furniture / Home Store,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d111951735,Jewelry Store,,,4d4b7105d754a06378d81259,Shop & Service,2,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d1ff941735,Miscellaneous Shop,,,4d4b7105d754a06378d81259,Shop & Service,2,4d4b7105d754a06378d81259,Shop & Service
52f2ab2ebcbc57f1066b8b35,Outlet Store,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d121951735,Paper / Office Supplies Store,,,4d4b7105d754a06378d81259,Shop & Service,2,4d4b7105d754a06378d81259,Shop & Service
52f2ab2ebcbc57f1066b8b23,Perfume Shop,,,4d4b7105d754a06378d81259,Shop & Service,2,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d110951735,Salon / Barbershop,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
5744ccdfe4b0c0459246b4dc,Shopping Plaza,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d1ed941735,Spa,,,4d4b7105d754a06378d81259,Shop & Service,2,4d4b7105d754a06378d81259,Shop & Service
5032781d91d4c4b30a586d5b,Tailor Shop,,,4d4b7105d754a06378d81259,Shop & Service,2,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d1de931735,Tattoo Parlor,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
4bf58dd8d48988d10b951735,Video Game Store,,,4d4b7105d754a06378d81259,Shop & Service,1,4d4b7105d754a06378d81259,Shop & Service
