,point index,point latitude,point longitude,venue,venue latitude,venue longitude,final category tag id,final category tag
44,38,48.840122124498826,2.2548538917047223,Marius,48.84137586512368,2.25603539048403,4bf58dd8d48988d10c941735,French Restaurant
45,38,48.840122124498826,2.2548538917047223,Les Princes,48.838971697715344,2.2554481029510494,4bf58dd8d48988d10c941735,French Restaurant
46,38,48.840122124498826,2.2548538917047223,Brindille,48.84064886492311,2.2559399774602786,4bf58dd8d48988d10c941735,French Restaurant
47,38,48.840122124498826,2.2548538917047223,L'Atelier des Pains,48.83941749599882,2.257156779757877,4bf58dd8d48988d16a941735,Bakery
48,39,48.84189580515111,2.2548538917047223,Club House VIP,48.84140902504471,2.2530406716907154,4bf58dd8d48988d116941735,Bar
49,39,48.84189580515111,2.2548538917047223,Marius,48.84137586512368,2.25603539048403,4bf58dd8d48988d10c941735,French Restaurant
50,39,48.84189580515111,2.2548538917047223,Brindille,48.84064886492311,2.2559399774602786,4bf58dd8d48988d10c941735,French Restaurant
51,40,48.843669422993166,2.2548538917047223,Casa Murat,48.84398214381312,2.2569036227120125,4bf58dd8d48988d110941735,Italian Restaurant
52,41,48.845442978025524,2.2548538917047223,Hôtel Molitor,48.84499130316304,2.2526405423278675,4bf58dd8d48988d1fa931735,Hotel
53,41,48.845442978025524,2.2548538917047223,Carrefour,48.846584,2.255542,4bf58dd8d48988d1f9941735,Food & Drink Shop
54,41,48.845442978025524,2.2548538917047223,Porte Molitor,48.845838515087394,2.256038188934326,4bf58dd8d48988d164941735,Plaza
55,42,48.8472164702487,2.2548538917047223,Carrefour,48.846584,2.255542,4bf58dd8d48988d1f9941735,Food & Drink Shop
56,42,48.8472164702487,2.2548538917047223,Porte Molitor,48.845838515087394,2.256038188934326,4bf58dd8d48988d164941735,Plaza
57,45,48.85253657006846,2.2548538917047223,Jockey Disque,48.853783,2.255724,4d4b7105d754a06376d81259,Nightlife Spot
58,46,48.854309811060205,2.2548538917047223,"Bel Ami, Paris",48.85482962261311,2.255354799557418,4bf58dd8d48988d1c4941735,Restaurant
59,46,48.854309811060205,2.2548538917047223,Jockey Disque,48.853783,2.255724,4d4b7105d754a06376d81259,Nightlife Spot
60,47,48.85608298924539,2.2548538917047223,Cirque Alexis Gruss,48.857376174738775,2.2549706436455645,4d4b7104d754a06370d81259,Arts & Entertainment
61,47,48.85608298924539,2.2548538917047223,"Bel Ami, Paris",48.85482962261311,2.255354799557418,4bf58dd8d48988d1c4941735,Restaurant
62,48,48.85785610462457,2.2548538917047223,Cirque Alexis Gruss,48.857376174738775,2.2549706436455645,4d4b7104d754a06370d81259,Arts & Entertainment
63,48,48.85785610462457,2.2548538917047223,Chalet Les Bosquettes,48.85802397520103,2.2552598899734524,4d4b7105d754a06374d81259,Food
64,49,48.85962915719824,2.2548538917047223,Chalet Les Bosquettes,48.85802397520103,2.2552598899734524,4d4b7105d754a06374d81259,Food
65,51,48.86317507393124,2.2548538917047223,Lagardère Paris Racing,48.86432203234668,2.2557687603619034,4f4528bc4b90abdf24c9de85,Athletics & Sports
66,51,48.86317507393124,2.2548538917047223,Les Mousquetaires,48.864673,2.25622,4bf58dd8d48988d10c941735,French Restaurant
67,52,48.864947938091596,2.2548538917047223,Lagardère Paris Racing,48.86432203234668,2.2557687603619034,4f4528bc4b90abdf24c9de85,Athletics & Sports
